Borowik szlachetny;Boletus edulis
Pieniążek maślany;Rhodocollybia butyracea
Pięknoróg największy;Calocera viscosa
Płachetka kołpakowata;Cortinarius caperatus
Podgrzybek brzoskwiniowy;Rheobarbariboletus armeniacus
Podgrzybek obciętozarodnikowy;Xerocomellus porosporus
Podgrzybek pasożytniczy;Pseudoboletus parasiticus
Podgrzybek żeberkowany;Xerocomus ferrugineus
Próchnilec gałęzisty;Xylaria hypoxylon
Próchnilec długotrzonowy;Xylaria longipes
Purchawka olbrzymia;Calvatia gigantea
Purchawka gruszkowata;Lycoperdon pyriforme
Pustułka pęcherzykowata;Hypogymnia physodes
Rozszczepka pospolita;Schizophyllum commune
Sarniak dachówkowaty;Sarcodon imbricatus
Siedzuń dębowy;Sparassis nemecii
Skórnik szorstki;Stereum hirsutum
Soplówka jeżowata;Hericium erinaceus
Sromotnik bezwstydny;Phallus impudicus
Sromotnik fiołkowy;Phallus hadriani
Strzępiak porysowany;Inocybe rimosa
Szmaciak gałęzisty;Sparassis crispa
Tęgoskór pospolity;Scleroderma verrucosum
Trufla biała;Tuber magnatum
Twardziak łuskowaty;Neolentinus lepideus
Twardzioszek czosnkowy;Mycetinis scorodonius
Wachlarzowiec olbrzymi;Meripilus giganteus
Wrośniak garbaty;Trametes gibbosa
Wrośniak szorstki;Trametes hirsuta
Zasłonak błękitny;Cortinarius caerulescens
Zasłonak hercyński;Cortinarius hercynicus
Zasłonak miedziany;Cortinarius purpurascens
Zasłonak szafranowy;Cortinarius croceus
Zasłonak wonny;Cortinarius traganus
Zasłonak zmienny;Cortinarius varius
Złotak wysmukły;Aureoboletus projectellus
Żółciak siarkowy;Laetiporus sulphureus
Gęśnica wiosenna;Calocybe gambosa
